2025-03-23 16:42:28,120 - INFO - Trade Executed: {'entry_idx': 1924, 'exit_idx': 128, 'type': 'BUY', 'entry_price': 0.89524, 'stop_loss': 0.892345, 'take_profit': 0.8974116455032486, 'exit_price': 0.8974116455032486, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0021716455032485538}
2025-03-23 16:42:28,153 - INFO - Trade Executed: {'entry_idx': 1965, 'exit_idx': 122, 'type': 'SELL', 'entry_price': 0.89614, 'stop_loss': 0.898165, 'take_profit': 0.8920900000000002, 'exit_price': 0.898165, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0020249999999999435}
2025-03-23 16:42:28,183 - INFO - Trade Executed: {'entry_idx': 2016, 'exit_idx': 20, 'type': 'BUY', 'entry_price': 0.89435, 'stop_loss': 0.89135, 'take_profit': 0.8966045521437864, 'exit_price': 0.8966045521437864, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.002254552143786448}
2025-03-23 16:42:28,215 - INFO - Trade Executed: {'entry_idx': 2112, 'exit_idx': 89, 'type': 'BUY', 'entry_price': 0.89711, 'stop_loss': 0.8954, 'take_profit': 0.8982464890465437, 'exit_price': 0.8954, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0017099999999999893}
2025-03-23 16:42:28,247 - INFO - Trade Executed: {'entry_idx': 2113, 'exit_idx': 88, 'type': 'BUY', 'entry_price': 0.89699, 'stop_loss': 0.894965, 'take_profit': 0.8982992086383333, 'exit_price': 0.894965, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0020249999999999435}
2025-03-23 16:42:28,281 - INFO - Trade Executed: {'entry_idx': 2114, 'exit_idx': 87, 'type': 'BUY', 'entry_price': 0.89701, 'stop_loss': 0.894985, 'take_profit': 0.8983077236246101, 'exit_price': 0.894985, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0020249999999999435}
2025-03-23 16:42:28,313 - INFO - Trade Executed: {'entry_idx': 2187, 'exit_idx': 14, 'type': 'BUY', 'entry_price': 0.89584, 'stop_loss': 0.8928999999999998, 'take_profit': 0.8975554589319488, 'exit_price': 0.8975554589319488, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.001715458931948799}
2025-03-23 16:42:28,349 - INFO - Trade Executed: {'entry_idx': 2204, 'exit_idx': 143, 'type': 'BUY', 'entry_price': 0.89473, 'stop_loss': 0.89173, 'take_profit': 0.897010611832346, 'exit_price': 0.897010611832346, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.002280611832345958}
2025-03-23 16:42:28,387 - INFO - Trade Executed: {'entry_idx': 2205, 'exit_idx': 142, 'type': 'BUY', 'entry_price': 0.89419, 'stop_loss': 0.89119, 'take_profit': 0.8971663820060156, 'exit_price': 0.8971663820060156, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0029763820060155766}
2025-03-23 16:42:28,431 - INFO - Trade Executed: {'entry_idx': 2206, 'exit_idx': 142, 'type': 'BUY', 'entry_price': 0.89334, 'stop_loss': 0.89034, 'take_profit': 0.8974878146444817, 'exit_price': 0.8974878146444817, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.004147814644481662}
2025-03-23 16:42:28,479 - INFO - Trade Executed: {'entry_idx': 2207, 'exit_idx': 295, 'type': 'BUY', 'entry_price': 0.89318, 'stop_loss': 0.89018, 'take_profit': 0.8977163137371278, 'exit_price': 0.8977163137371278, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.004536313737127817}
2025-03-23 16:42:28,518 - INFO - Trade Executed: {'entry_idx': 2208, 'exit_idx': 296, 'type': 'BUY', 'entry_price': 0.8931, 'stop_loss': 0.8901, 'take_profit': 0.8978597167168523, 'exit_price': 0.8978597167168523, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.004759716716852269}
2025-03-23 16:42:28,549 - INFO - Trade Executed: {'entry_idx': 2269, 'exit_idx': 78, 'type': 'SELL', 'entry_price': 0.89488, 'stop_loss': 0.8971900000000002, 'take_profit': 0.8902599999999997, 'exit_price': 0.8971900000000002, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0023100000000001453}
2025-03-23 16:42:28,582 - INFO - Trade Executed: {'entry_idx': 2270, 'exit_idx': 79, 'type': 'SELL', 'entry_price': 0.89521, 'stop_loss': 0.8976099999999998, 'take_profit': 0.8904100000000001, 'exit_price': 0.8976099999999998, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0023999999999998467}
2025-03-23 16:42:28,632 - INFO - Trade Executed: {'entry_idx': 2349, 'exit_idx': 565, 'type': 'SELL', 'entry_price': 0.89739, 'stop_loss': 0.9003749999999999, 'take_profit': 0.8914200000000002, 'exit_price': 0.8914200000000002, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.005969999999999809}
2025-03-23 16:42:28,680 - INFO - Trade Executed: {'entry_idx': 2350, 'exit_idx': 564, 'type': 'SELL', 'entry_price': 0.89743, 'stop_loss': 0.90043, 'take_profit': 0.89143, 'exit_price': 0.89143, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.006000000000000005}
2025-03-23 16:42:28,711 - INFO - Trade Executed: {'entry_idx': 2396, 'exit_idx': 54, 'type': 'BUY', 'entry_price': 0.89601, 'stop_loss': 0.894255, 'take_profit': 0.89711603246037, 'exit_price': 0.894255, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.001754999999999951}
